pl_name,hostname,sy_pnum,discoverymethod,disc_year,disc_facility,sy_dist,sy_disterr1,sy_disterr2
HD 219666 b,HD 219666,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),94.1719,0.2518,-0.2506
HD 219828 b,HD 219828,2,Radial Velocity,2007,La Silla Observatory,73.114,0.357,-0.3536
HD 219828 c,HD 219828,2,Radial Velocity,2016,Multiple Facilities,73.114,0.357,-0.3536
HD 220074 b,HD 220074,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,324.54,6.443,-6.201
HD 220197 b,HD 220197,1,Radial Velocity,2018,Roque de los Muchachos Observatory,64.411,0.1944,-0.1932
HD 220689 b,HD 220689,1,Radial Velocity,2012,La Silla Observatory,46.8778,0.1048,-0.1044
HD 220773 b,HD 220773,1,Radial Velocity,2011,McDonald Observatory,50.5103,0.1726,-0.1715
HD 220842 b,HD 220842,1,Radial Velocity,2016,Haute-Provence Observatory,64.6498,0.1678,-0.1669
HD 221287 b,HD 221287,1,Radial Velocity,2007,La Silla Observatory,55.9231,0.1268,-0.1263
HD 221416 b,HD 221416,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),95.5483,0.7364,-0.7254
HD 221420 b,HD 221420,1,Radial Velocity,2019,Anglo-Australian Telescope,31.1415,0.0376,-0.0376
HD 221585 b,HD 221585,1,Radial Velocity,2016,Haute-Provence Observatory,55.8535,0.1017,-0.1014
HD 222076 b,HD 222076,1,Radial Velocity,2016,Multiple Observatories,91.1538,0.1811,-0.1805
HD 222155 b,HD 222155,1,Radial Velocity,2011,Haute-Provence Observatory,50.6078,0.0831,-0.0827
HD 222237 b,HD 222237,1,Radial Velocity,2024,Multiple Observatories,11.4469,0.0035,-0.0034
HD 222582 b,HD 222582,1,Radial Velocity,1999,W. M. Keck Observatory,42.1586,0.1088,-0.1083
HD 224538 b,HD 224538,1,Radial Velocity,2016,Multiple Observatories,79.0608,0.1854,-0.1846
HD 224693 b,HD 224693,1,Radial Velocity,2006,W. M. Keck Observatory,93.5015,0.5108,-0.5053
HD 22496 b,HD 22496,1,Radial Velocity,2021,Paranal Observatory,13.5956,0.0072,-0.0072
HD 22532 b,HD 22532,1,Radial Velocity,2022,La Silla Observatory,161.183,0.655,-0.655
HD 22781 b,HD 22781,1,Radial Velocity,2011,Haute-Provence Observatory,32.6034,0.1151,-0.1143
HD 22946 d,HD 22946,3,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),62.7792,0.1161,-0.1156
HD 23079 b,HD 23079,1,Radial Velocity,2001,Anglo-Australian Telescope,33.4591,0.0349,-0.0348
HD 23127 b,HD 23127,1,Radial Velocity,2006,Anglo-Australian Telescope,93.8555,0.2059,-0.205
HD 231701 b,HD 231701,1,Radial Velocity,2007,W. M. Keck Observatory,108.877,0.471,-0.467
HD 233604 b,HD 233604,1,Radial Velocity,2013,McDonald Observatory,847.058,26.599,-26.599
HD 233832 b,HD 233832,1,Radial Velocity,2018,Roque de los Muchachos Observatory,58.742,0.2626,-0.2602
HD 23472 b,HD 23472,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),39.0341,0.0401,-0.04
HD 23472 c,HD 23472,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),39.0341,0.0401,-0.04
HD 23472 d,HD 23472,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),39.0341,0.0401,-0.04
HD 23472 e,HD 23472,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),39.0341,0.0401,-0.04
HD 23472 f,HD 23472,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),39.0341,0.0401,-0.04
HD 235088 b,HD 235088,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),41.1706,0.0414,-0.0414
HD 23596 b,HD 23596,1,Radial Velocity,2003,Haute-Provence Observatory,52.0018,0.1026,-0.1022
HD 238090 b,HD 238090,1,Radial Velocity,2020,Multiple Observatories,15.2354,0.00625,-0.00625
HD 238914 b,HD 238914,1,Radial Velocity,2018,Multiple Observatories,519.452,8.2395,-8.2395
HD 240210 b,HD 240210,1,Radial Velocity,2009,McDonald Observatory,372.405,4.88,-4.88
HD 240237 b,HD 240237,1,Radial Velocity,2011,McDonald Observatory,933.377,31.9885,-31.9885
HD 24040 b,HD 24040,2,Radial Velocity,2006,W. M. Keck Observatory,46.6224,0.1362,-0.1355
HD 24040 c,HD 24040,2,Radial Velocity,2021,Multiple Observatories,46.6224,0.1362,-0.1355
HD 24064 b,HD 24064,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,300.247,1.95,-1.926
HD 24085 b,HD 24085,1,Radial Velocity,2019,Las Campanas Observatory,54.9004,0.0745,-0.0743
HD 25015 b,HD 25015,1,Radial Velocity,2019,La Silla Observatory,37.433,0.0689,-0.0687
HD 25171 b,HD 25171,1,Radial Velocity,2010,La Silla Observatory,55.6146,0.0928,-0.0925
HD 25463 b,HD 25463,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),45.6181,0.1254,-0.1247
HD 25463 c,HD 25463,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),45.6181,0.1254,-0.1247
HD 25723 b,HD 25723,1,Radial Velocity,2020,Lick Observatory,114.816,1.357,-1.326
HD 25912 b,HD 25912,2,Radial Velocity,2022,Multiple Observatories,49.1661,0.0576,-0.0575
HD 25912 c,HD 25912,2,Radial Velocity,2022,Multiple Observatories,49.1661,0.0576,-0.0575
HD 260655 b,HD 260655,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),10.0055,0.00505,-0.00505
HD 260655 c,HD 260655,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),10.0055,0.00505,-0.00505
HD 26161 b,HD 26161,1,Radial Velocity,2021,Multiple Observatories,40.9128,0.0764,-0.0761
HD 2638 b,HD 2638,1,Radial Velocity,2005,La Silla Observatory,54.9621,0.1556,-0.1547
HD 2685 b,HD 2685,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),196.852,0.777,-0.771
HD 27442 b,HD 27442,1,Radial Velocity,2000,Anglo-Australian Telescope,18.2704,0.0545,-0.0545
HD 27631 b,HD 27631,1,Radial Velocity,2012,La Silla Observatory,50.2862,0.0823,-0.0821
HD 27894 b,HD 27894,3,Radial Velocity,2005,La Silla Observatory,43.8214,0.0593,-0.0591
HD 27894 c,HD 27894,3,Radial Velocity,2017,La Silla Observatory,43.8214,0.0593,-0.0591
HD 27894 d,HD 27894,3,Radial Velocity,2017,La Silla Observatory,43.8214,0.0593,-0.0591
HD 27969 b,HD 27969,1,Radial Velocity,2021,Haute-Provence Observatory,67.9328,0.3043,-0.3018
HD 28109 b,HD 28109,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),139.611,0.429,-0.427
HD 28109 c,HD 28109,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),139.611,0.429,-0.427
HD 28109 d,HD 28109,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),139.611,0.429,-0.427
HD 28185 b,HD 28185,2,Radial Velocity,2001,La Silla Observatory,39.3809,0.0637,-0.0636
HD 28185 c,HD 28185,2,Radial Velocity,2022,Multiple Observatories,39.3809,0.0637,-0.0636
HD 28192 b,HD 28192,1,Radial Velocity,2022,Multiple Observatories,49.8063,0.1416,-0.1409
HD 28254 b,HD 28254,1,Radial Velocity,2010,La Silla Observatory,55.2884,0.0936,-0.0933
HD 284149 AB b,HD 284149 A,1,Imaging,2017,Paranal Observatory,117.807,0.713,-0.705
HD 285507 b,HD 285507,1,Radial Velocity,2013,Fred Lawrence Whipple Observatory,45.0293,0.244,-0.2414
HD 285968 b,HD 285968,1,Radial Velocity,2008,La Silla Observatory,9.47045,0.006325,-0.006325
HD 28678 b,HD 28678,1,Radial Velocity,2011,W. M. Keck Observatory,189.908,2.3275,-2.3275
HD 29021 b,HD 29021,1,Radial Velocity,2017,Haute-Provence Observatory,30.9939,0.0422,-0.0421
HD 290327 b,HD 290327,1,Radial Velocity,2009,La Silla Observatory,56.433,0.1483,-0.1474
HD 29399 b,HD 29399,1,Radial Velocity,2022,La Silla Observatory,44.1518,0.1069,-0.1069
HD 2952 b,HD 2952,1,Radial Velocity,2013,Okayama Astrophysical Observatory,110.103,0.657,-0.649
HD 29985 b,HD 29985,1,Radial Velocity,2022,Multiple Observatories,31.2707,0.0217,-0.0217
HD 30177 b,HD 30177,2,Radial Velocity,2002,Anglo-Australian Telescope,55.5867,0.127,-0.1264
HD 30177 c,HD 30177,2,Radial Velocity,2016,Multiple Observatories,55.5867,0.127,-0.1264
HD 30562 b,HD 30562,1,Radial Velocity,2009,Lick Observatory,26.1597,0.0564,-0.0563
HD 30669 b,HD 30669,1,Radial Velocity,2014,La Silla Observatory,58.0844,0.0878,-0.0876
HD 30856 b,HD 30856,1,Radial Velocity,2011,W. M. Keck Observatory,131.199,0.549,-0.549
HD 31253 b,HD 31253,1,Radial Velocity,2010,W. M. Keck Observatory,58.1438,0.1507,-0.1498
HD 31527 b,HD 31527,3,Radial Velocity,2019,La Silla Observatory,38.4473,0.0408,-0.0408
HD 31527 c,HD 31527,3,Radial Velocity,2019,La Silla Observatory,38.4473,0.0408,-0.0408
HD 31527 d,HD 31527,3,Radial Velocity,2019,La Silla Observatory,38.4473,0.0408,-0.0408
HD 3167 b,HD 3167,4,Transit,2016,K2,47.2899,0.1485,-0.1475
HD 3167 c,HD 3167,4,Transit,2016,K2,47.2899,0.1485,-0.1475
HD 3167 d,HD 3167,4,Radial Velocity,2017,Multiple Observatories,47.2899,0.1485,-0.1475
HD 3167 e,HD 3167,4,Radial Velocity,2022,CHaracterising ExOPlanets Satellite (CHEOPS),47.2899,0.1485,-0.1475
HD 32518 b,HD 32518,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,122.115,0.306,-0.306
HD 32963 b,HD 32963,1,Radial Velocity,2015,W. M. Keck Observatory,38.0786,0.1009,-0.1003
HD 330075 b,HD 330075,1,Radial Velocity,2004,La Silla Observatory,45.2989,0.0918,-0.0913
HD 331093 b,HD 331093,1,Radial Velocity,2021,Haute-Provence Observatory,50.1928,0.092,-0.0916
HD 33142 b,HD 33142,3,Radial Velocity,2011,W. M. Keck Observatory,121.375,0.5845,-0.5845
HD 33142 c,HD 33142,3,Radial Velocity,2018,W. M. Keck Observatory,121.375,0.5845,-0.5845
HD 33142 d,HD 33142,3,Radial Velocity,2022,Multiple Observatories,121.375,0.5845,-0.5845
HD 332231 b,HD 332231,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),80.6665,0.1917,-0.1908
HD 33283 b,HD 33283,1,Radial Velocity,2006,W. M. Keck Observatory,89.8623,0.2335,-0.2324
HD 33564 b,HD 33564,1,Radial Velocity,2005,Haute-Provence Observatory,20.9531,0.0746,-0.074
HD 33844 b,HD 33844,2,Radial Velocity,2015,Anglo-Australian Telescope,105.779,0.383,-0.38
HD 33844 c,HD 33844,2,Radial Velocity,2015,Anglo-Australian Telescope,105.779,0.383,-0.38
HD 34445 b,HD 34445,6,Radial Velocity,2009,W. M. Keck Observatory,46.0907,0.0996,-0.0991
HD 34445 c,HD 34445,6,Radial Velocity,2017,Multiple Observatories,46.0907,0.0996,-0.0991
HD 34445 d,HD 34445,6,Radial Velocity,2017,Multiple Observatories,46.0907,0.0996,-0.0991
HD 34445 e,HD 34445,6,Radial Velocity,2017,Multiple Observatories,46.0907,0.0996,-0.0991
HD 34445 f,HD 34445,6,Radial Velocity,2017,Multiple Observatories,46.0907,0.0996,-0.0991
HD 34445 g,HD 34445,6,Radial Velocity,2017,Multiple Observatories,46.0907,0.0996,-0.0991
HD 35759 b,HD 35759,1,Radial Velocity,2016,Haute-Provence Observatory,71.2423,0.2125,-0.2113
HD 360 b,HD 360,1,Radial Velocity,2021,Okayama Astrophysical Observatory,111.542,1.0475,-1.0475
HD 36384 b,HD 36384,1,Radial Velocity,2023,Bohyunsan Optical Astronomical Observatory,209.309,3.553,-3.437
HD 3651 b,HD 3651,1,Radial Velocity,2003,Multiple Observatories,11.1336,0.0073,-0.0072
HD 37124 b,HD 37124,3,Radial Velocity,2002,W. M. Keck Observatory,31.6634,0.076,-0.0757
HD 37124 c,HD 37124,3,Radial Velocity,2002,W. M. Keck Observatory,31.6634,0.076,-0.0757
HD 37124 d,HD 37124,3,Radial Velocity,2005,W. M. Keck Observatory,31.6634,0.076,-0.0757
HD 37605 b,HD 37605,2,Radial Velocity,2004,McDonald Observatory,46.7864,0.1143,-0.1137
HD 37605 c,HD 37605,2,Radial Velocity,2012,Multiple Observatories,46.7864,0.1143,-0.1137
HD 3765 b,HD 3765,1,Radial Velocity,2021,Multiple Observatories,17.926,0.0325,-0.0324
HD 38283 b,HD 38283,1,Radial Velocity,2010,Anglo-Australian Telescope,38.0615,0.0366,-0.0365
HD 38529 b,HD 38529,2,Radial Velocity,2000,Multiple Observatories,42.3538,0.10605,-0.10605
